('acknowledges', 'no-tag')
('ACTIONS', 'no-tag')
('›Identifying', 'no-tag')
('kāinga', 'no-tag')
('Health:', 'no-tag')
('partnershipsMāori', 'no-tag')
('numbers', 'no-tag')
('Kokiri', 'no-tag')
('capita', 'no-tag')
('meaningful', 'no-tag')
('person', 'no-tag')
('include', 'no-tag')
('measure', 'no-tag')
('conveys', 'no-tag')
('children', 'no-tag')
('socially', 'no-tag')
('Name', 'no-tag')
('acknowledgement', 'no-tag')
('delivery', 'no-tag')
('child', 'no-tag')
('complete', 'no-tag')
('relevant', 'no-tag')
('clear', 'no-tag')
('focussed', 'no-tag')
('Prime', 'no-tag')
('management.Launch', 'no-tag')
('local', 'no-tag')
('intended', 'no-tag')
('Wait’', 'no-tag')
('Hui', 'no-tag')
('significance', 'no-tag')
('PHO', 'no-tag')
('safetyInsights', 'no-tag')
('recently', 'no-tag')
('Many', 'no-tag')
('awatea', 'no-tag')
('placed', 'no-tag')
('closely', 'no-tag')
('tobacco', 'no-tag')
('allow', 'no-tag')
('Experience', 'no-tag')
('free', 'no-tag')
('practitioners', 'no-tag')
('framework.Pae', 'no-tag')
('frameworks', 'no-tag')
('strategies', 'no-tag')
('v', 'no-tag')
('are', 'no-tag')
('tou', 'no-tag')
('type', 'no-tag')
('Young', 'no-tag')
('grammes', 'no-tag')
('CO', 'no-tag')
('PO', 'no-tag')
('you', 'no-tag')
('toa', 'no-tag')
('stakeholder', 'no-tag')
('deficits', 'no-tag')
('kia', 'no-tag')
('clean', 'no-tag')
('assessed', 'no-tag')
('Coding', 'no-tag')
('draft', 'no-tag')
('ORA', 'no-tag')
('au', 'no-tag')
('population', 'no-tag')
('students', 'no-tag')
('–2025February–July', 'no-tag')
('directorships', 'no-tag')
('DNA', 'no-tag')
('solutions.Expand', 'no-tag')
('Tātau', 'no-tag')
('terms', 'no-tag')
('Achievers', 'no-tag')
('place', 'no-tag')
('analysis', 'no-tag')
('House', 'no-tag')
('mitigate', 'no-tag')
('›The', 'no-tag')
('Plan', 'no-tag')
('utilisation', 'no-tag')
('culture', 'no-tag')
('Ingham', 'no-tag')
('aituā', 'no-tag')
('book', 'no-tag')
('spread', 'no-tag')
('studying', 'no-tag')
('Equitable', 'no-tag')
('data.Whakataukī', 'no-tag')
('baseline', 'no-tag')
('wide', 'no-tag')
('Apārangi:', 'no-tag')
('trend', 'no-tag')
('policy.”', 'no-tag')
('Vote:', 'no-tag')
('Further', 'no-tag')
('is', 'no-tag')
('Nō', 'no-tag')
('science', 'no-tag')
('–2025Appendices', 'no-tag')
('generosity', 'no-tag')
('telehealth', 'no-tag')
('optimal', 'no-tag')
('responsibilities', 'no-tag')
('organisations.Support', 'no-tag')
('mutual', 'no-tag')
('gainsEquityRangatiratanga', 'no-tag')
('government', 'no-tag')
('skills', 'no-tag')
('mihi', 'no-tag')
('thrive', 'no-tag')
('circumstances', 'no-tag')
('customs', 'no-tag')
('options', 'no-tag')
('take', 'no-tag')
('hdl.handle.net', 'no-tag')
('enduring', 'no-tag')
('head', 'no-tag')
('mental', 'no-tag')
('For', 'no-tag')
('communities', 'no-tag')
('International', 'no-tag')
('ie', 'no-tag')
('learning', 'no-tag')
('provides', 'no-tag')
('Government’s', 'no-tag')
('FEEDBACK“Why', 'no-tag')
('protects', 'no-tag')
('actionQuality', 'no-tag')
('Tatau', 'no-tag')
('care.Purpose', 'no-tag')
('Mao', 'no-tag')
('experienced', 'no-tag')
('leader', 'no-tag')
('problems', 'no-tag')
('with', 'no-tag')
('licensed', 'no-tag')
('disease', 'no-tag')
('DIRECTIONS', 'no-tag')
('year', 'no-tag')
('Drafting', 'no-tag')
('share', 'no-tag')
('whai', 'no-tag')
('sub-committee', 'no-tag')
('Zealand’s', 'no-tag')
('physical', 'no-tag')
('RangatiratangaArticle', 'no-tag')
('wellness', 'no-tag')
('declaration', 'no-tag')
('‘Mana’', 'no-tag')
('taunakitanga', 'no-tag')
('‘Seek', 'no-tag')
('colleagues', 'no-tag')
('PATHWAYSMāori', 'no-tag')
('expertise', 'no-tag')
('should', 'no-tag')
('mentor', 'no-tag')
('growth', 'no-tag')
('Collective', 'no-tag')
('Coast', 'no-tag')
('RS', 'no-tag')
('confined', 'no-tag')
('Clarke', 'no-tag')
('networked', 'no-tag')
('he', 'no-tag')
('claim', 'no-tag')
('There', 'no-tag')
('Take', 'no-tag')
('holistic', 'no-tag')
('Began', 'no-tag')
('ecosystem', 'no-tag')
('settings', 'no-tag')
('total', 'no-tag')
('Planning', 'no-tag')
('System', 'no-tag')
('OrangaFocusing', 'no-tag')
('Acknowledgements', 'no-tag')
('disabilityAction', 'no-tag')
('strongly', 'no-tag')
